"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"7452";"giant eagle inc";2014-06-23;469;"INSD";"MED";"US GA: State";2014
"7453";"invest financial corporation";2014-06-27;1;"DISC";"MED";"US GA: State";2014
"7454";"kimpton";2014-06-02;1;"HACK";"MED";"US GA: State";2014
"7455";"fidelity national financial inc";2014-06-12;40;"HACK";"MED";"US GA: State";2014
"7456";"safetyfirst";2014-06-12;97;"DISC";"MED";"US GA: State";2014
"7457";"david stanley dodge";2014-06-16;1;"HACK";"MED";"US GA: State";2014
"7458";"specialized eye care";2014-06-17;28;"HACK";"MED";"US GA: State";2014
"7459";"papa john s usa inc";2014-06-17;371;"HACK";"MED";"US GA: State";2014
"7460";"bell nursery usa llc";2014-06-18;25;"INSD";"MED";"US GA: State";2014
"7461";"record assist llc";2014-06-18;331;"HACK";"MED";"US GA: State";2014
"7462";"metropolitan companies inc";2014-06-19;17;"PHYS";"MED";"US GA: State";2014
"7463";"montana department of public health and human service";2014-06-23;5;"DISC";"MED";"US GA: State";2014
"7464";"butler university";2014-06-25;1626;"DISC";"MED";"US GA: State";2014
"7465";"atlantic automotive corp dba mileone inc";2014-06-27;350;"HACK";"MED";"US GA: State";2014
"7467";"dennis east international llc";2014-06-30;3;"HACK";"MED";"US GA: State";2014
"7468";"thomson reuters";2014-07-01;36;"HACK";"MED";"US GA: State";2014
"7469";"wayneburg university";2014-07-02;5;"HACK";"MED";"US GA: State";2014
"7471";"experian";2014-05-22;3;"HACK";"MED";"US GA: State";2014
"7472";"power equipment direct inc";2014-05-27;12;"HACK";"MED";"US GA: State";2014
"7473";"service alternatives inc";2014-05-27;2;"DISC";"MED";"US GA: State";2014
"7474";"centurylink";2014-05-22;1;"HACK";"MED";"US GA: State";2014
"7476";"placemark investments inc";2014-05-27;11;"HACK";"MED";"US GA: State";2014
"7477";"the home depot inc";2014-05-23;3;"INSD";"MED";"US GA: State";2014
"7478";"hilbert college";2014-05-22;1;"DISC";"MED";"US GA: State";2014
"7479";"hanover foods corporation";2014-05-21;677;"HACK";"MED";"US GA: State";2014
"7480";"paytime harrisburg inc dba paytime inc";2014-05-20;8261;"HACK";"MED";"US GA: State";2014
"7482";"autonation inc";2014-05-14;29;"HACK";"MED";"US GA: State";2014
"7483";"precision planting llc";2014-05-14;14;"HACK";"MED";"US GA: State";2014
"7484";"hubbard bert inc";2014-05-13;22;"DISC";"MED";"US GA: State";2014
"7485";"santander bank n a";2014-05-12;1;"INSD";"MED";"US GA: State";2014
"7486";"preit";2014-05-08;91;"HACK";"MED";"US GA: State";2014
"7487";"entercom portland llc";2014-05-07;5;"PHYS";"MED";"US GA: State";2014
"7488";"mercer hr services llc";2014-05-07;4;"DISC";"MED";"US GA: State";2014
"7489";"american dental association";2014-05-07;2;"DISC";"MED";"US GA: State";2014
"7490";"larsen dental care";2014-04-22;3;"PHYS";"MED";"US GA: State";2014
"7491";"fujifilm";2014-04-07;1;"HACK";"MED";"US GA: State";2014
"7492";"carefirst bluecross blueshield";2014-04-14;2;"DISC";"MED";"US GA: State";2014
"7493";"susquehanna health";2014-04-01;2;"DISC";"MED";"US GA: State";2014
"7494";"boomerang tags";2014-04-30;593;"HACK";"MED";"US GA: State";2014
"7495";"seterus";2014-04-29;2;"DISC";"MED";"US GA: State";2014
"7496";"nco financial systems inc";2014-04-25;46;"DISC";"MED";"US GA: State";2014
"7499";"snelling staffing llc";2014-04-22;19;"DISC";"MED";"US GA: State";2014
"7500";"gingerbread shed corporation";2014-05-05;78;"HACK";"MED";"US GA: State";2014
"7503";"johns hopkins university identity theft";2014-04-22;725;"DISC";"MED";"US GA: State";2014
"7504";"jcm partners llc";2014-04-24;18;"HACK";"MED";"US GA: State";2014
"7505";"central city concern";2014-04-25;10;"INSD";"MED";"US GA: State";2014
"7507";"usaa";2014-04-15;1;"DISC";"MED";"US GA: State";2014
"7509";"logos management software llc";2014-04-03;15;"HACK";"MED";"US GA: State";2014
"7513";"veterans of foreign wars of the u s vfw";2014-04-11;1074;"HACK";"MED";"US GA: State";2014
"7515";"mimeo com";2014-04-15;2;"INSD";"MED";"US GA: State";2014
"7516";"willis north america inc medical expense benefit plan";2014-04-18;129;"DISC";"MED";"US GA: State";2014
"7518";"american health information management association ahima";2014-04-02;4;"INSD";"MED";"US GA: State";2014
"7519";"city of crossville tennessee";2014-04-02;7;"DISC";"MED";"US GA: State";2014
"7522";"merrill lynch wealth management";2014-02-24;1;"DISC";"MED";"US GA: State";2014
"7523";"escreen inc";2014-02-25;5;"INSD";"MED";"US GA: State";2014
"7526";"proassurance mid continent underwriters inc";2014-02-27;1;"HACK";"MED";"US GA: State";2014
"7528";"aflac";2014-02-20;12;"INSD";"MED";"US GA: State";2014
"7529";"fresenius medical care";2014-02-11;8;"PHYS";"MED";"US GA: State";2014
"7530";"embassy suites";2014-02-11;12;"HACK";"MED";"US GA: State";2014
"7531";"td bank";2014-02-11;8;"DISC";"MED";"US GA: State";2014
"7532";"bank of the west";2014-02-06;10;"HACK";"MED";"US GA: State";2014
"7533";"farmers and merchants trust company of chambersburg";2014-02-07;6;"INSD";"MED";"US GA: State";2014
"7534";"greenleaf book group llc";2014-02-03;6;"PHYS";"MED";"US GA: State";2014
"7536";"davita healthcare partners";2014-01-23;1;"DISC";"MED";"US GA: State";2014
"7537";"complete medical homecare";2014-01-21;16;"INSD";"MED";"US GA: State";2014
"7539";"oak assosiates funds";2014-02-27;12;"PHYS";"MED";"US GA: State";2014
"7540";"variable annuity life insurance company";2014-02-26;25855;"INSD";"MED";"US GA: State";2014
"7541";"alaska communications systems holdings inc";2014-02-24;4;"HACK";"MED";"US GA: State";2014
"7544";"carmike cinemas inc";2014-02-13;1;"PHYS";"MED";"US GA: State";2014
"7545";"catamaran";2014-02-07;37;"DISC";"MED";"US GA: State";2014
"7547";"tribeca film institute";2014-01-30;1;"HACK";"MED";"US GA: State";2014
"7548";"washington state university";2017-07-22;1e+06;"PHYS";"EDU";"US GA: State";2017
"7549";"erie county office of children and youth";2017-07-05;30;"DISC";"GOV";"US GA: State";2017
"7550";"verizon";2017-07-12;6e+06;"DISC";"BSO";"US GA: State";2017
"7552";"sabre corporation";2017-05-04;32000;"HACK";"BSO";"US GA: State";2017
"7553";"pediatric healthcare solutions a division of prohealth";2017-06-28;6932;"HACK";"MED";"US GA: State";2017
"7554";"fasthealth corporation";2017-06-29;9289;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7555";"california pacific orthopaedics and sports medicine";2017-06-30;2263;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7556";"community link inc";2017-06-30;5524;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7557";"baptist medical center south";2017-06-30;531;"PHYS";"MED";"US GA: State";2017
"7558";"enterprise services llc";2017-06-30;822;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7559";"pvhs icm employee health and wellness llc as covered entity and business associate";2017-07-03;10143;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7560";"ledet family chiropractic cener";2017-07-09;530;"HACK";"MED";"US GA: State";2017
"7561";"rosalind franklin university of medicine";2017-07-09;859;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7570";"kansas department of commerce";2017-07-21;5500000;"HACK";"GOV";"Media";2017
"7576";"wells fargo";2017-07-31;50000;"DISC";"BSF";"Media";2017
"7579";"anthem";2017-07-31;18500;"INSD";"BSF";"Media";2017
"7589";"braun dermatology skin cancer center";2017-07-28;1200;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7590";"the university of vermont medical center";2017-07-21;2300;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7591";"performance physical therapy and wellness";2017-07-21;571;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7592";"massachusetts department of public health tewksbury hospital";2017-07-21;1176;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7593";"sage dental management llc";2017-07-19;5000;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7594";"women s health care group of pa llc";2017-07-15;3e+05;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7595";"braun internal medicine p c";2017-07-14;680;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7596";"detroit medical center";2017-07-13;1529;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7597";"professional counseling medical associates";2017-07-13;2500;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7598";"lc z general and cosmetic dentistry";2017-07-11;4391;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7599";"white coats wellness";2017-07-10;10000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7600";"andrea yaley dds";2017-07-10;1200;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7601";"university of mississippi medical center";2017-07-07;7492;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7602";"unconditional love incorporated";2017-07-07;643;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7603";"peachtree neurological clinic p c";2017-07-07;176295;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7604";"university of california davis health";2017-07-06;14900;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7605";"walnut place";2017-07-05;5000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7606";"the dermatology center of raleigh pa";2017-07-05;3000;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7607";"kennebunk center for dentistry";2017-07-03;1900;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7608";"white blossom care center";2017-06-30;800;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7609";"paul c gering jr m d";2017-06-29;2000;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7610";"shelby county tennessee";2017-08-02;650000;"DISC";"GOV";"Media";2017
"7612";"bloomberg";2017-08-04;325000;"DISC";"BSF";"Media";2017
"7614";"ucla";2017-08-05;30000;"HACK";"EDU";"Media";2017
"7618";"south washington county school district";2017-08-17;9600;"DISC";"EDU";"Media";2017
"7619";"mercy family medicine";2017-08-16;2069;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7620";"pacific alliance medical center";2017-08-10;266123;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7621";"mdeverywhere inc";2017-08-10;1396;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7622";"surgical dermatology group";2017-08-05;14000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7623";"city of hope";2017-08-03;3400;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7624";"northwest rheumatology";2017-07-31;7468;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7629";"aetna";2017-08-24;12000;"DISC";"BSF";"Media";2017
"7631";"cfg community bank";2017-03-29;155;"HACK";"BSF";"US GA: State";2017
"7632";"national safety council";2017-03-21;2;"HACK";"BSO";"US GA: State";2017
"7634";"looking glass cyber solutions inc";2017-03-15;69;"HACK";"BSO";"US GA: State";2017
"7637";"vertex wireless";2017-03-15;48;"HACK";"BSO";"US GA: State";2017
"7638";"tyler technologies inc";2017-03-13;2;"DISC";"BSO";NA;2017
"7641";"atwood distributing l p";2017-02-28;17;"HACK";"BSO";"US GA: State";2017
"7643";"friedman perry cpa s";2017-03-08;9;"HACK";"BSF";"US GA: State";2017
"7648";"st marks surgery center";2017-08-24;34000;"HACK";"MED";NA;2017
"7649";"plastic surgery associates of south dakota";2017-07-31;10000;"HACK";"MED";"Media";2017
"7650";"women s health care group of pennsylvania";2017-07-26;3e+05;"HACK";"MED";"Media";2017
"7651";"uc davis health";2017-07-17;15000;"HACK";"MED";"Media";2017
"7652";"silver cross hospital";2017-08-30;9000;"HACK";"MED";"Media";2017
"7653";"kaiser";2017-08-30;600;"DISC";"MED";"Media";2017
"7655";"kaleida health";2017-08-31;2800;"HACK";"MED";"Media";2017
"7656";"mclaren medical group mmg";2017-08-31;106008;"HACK";"MED";"Media";2017
"7657";"broadsoft";2017-09-05;4e+06;"DISC";"BSO";"Media";2017
"7661";"equifax corporation";2017-09-07;145500000;"HACK";"BSF";"Media";2017
"7662";"equals3";2017-09-14;593328;"DISC";"BSO";"Media";2017
"7663";"arkansas department of medicaid";2017-09-16;26000;"INSD";"GOV";"Media";2017
"7666";"the ms center of saint louis and mercy clinic neurology town and country";2017-09-16;1081;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7667";"medical mutual of ohio";2017-09-15;6119;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7668";"abb inc";2017-09-11;28012;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7669";"children s hospital colorado";2017-09-08;3370;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7670";"network health";2017-09-08;51232;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7671";"ridgeview medical center";2017-09-08;1074;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7672";"university of wisconsin madison";2017-09-07;1000;"DISC";"EDU";"US GA: Federal - HIPAA";2017
"7673";"florida healthy kids corporation";2017-09-07;2000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7674";"community memorial health system";2017-09-05;959;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7675";"cbs consolidated inc";2017-09-05;21856;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7676";"med cert inc";2017-09-02;7253;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7677";"state of alaska department of health and social services";2017-09-01;501;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7678";"hand upper extremity centers dba hand rehabilitation specialists";2017-09-01;12806;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7679";"adult internal medicine of north scottsdale";2017-09-01;11798;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7680";"consultants choice p a";2017-09-01;1458;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7681";"metroplus health plan inc";2017-09-01;15212;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7682";"the neurology foundation inc";2017-09-01;12861;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7683";"mercy hospital logan county";2017-08-30;629;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7684";"aetna inc";2017-08-29;11887;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7685";"medical oncology hematology consultants pa";2017-08-29;19203;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7686";"waco otolaryngology associates d b a waco ear nose throat";2017-08-28;500;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7687";"kaleida health";2017-08-25;744;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7688";"mclaren medical group mid michigan physicians imaging center";2017-08-24;106008;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7689";"oncology consultants p a";2017-08-22;19114;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7690";"northeast ob gyn associates";2017-08-18;10198;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7691";"institute for women s health";2017-08-18;15761;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7692";"south bend orthopaedic associates inc";2017-08-18;1272;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7695";"svr tracking";2017-09-21;540000;"DISC";"BSO";"Media";2017
"7723";"arkansas oral facial surgery";2017-10-02;128000;"HACK";"MED";"Media";2017
"7724";"mongodb";2017-09-05;26000;"HACK";"BSO";"Media";2017
"7725";"kaleida health";2017-08-31;744;"HACK";"MED";"Media";2017
"7726";"st mark s surgery center";2017-08-24;33877;"HACK";"MED";"Media";2017
"7727";"anthem blue cross blue shield";2017-07-31;18000;"INSD";"MED";"Media";2017
"7728";"valley family medicine";2017-11-03;8450;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7729";"east central kansas area agency on aging";2017-10-31;8750;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7730";"texas children s health plan";2017-10-27;932;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7731";"florida blue";2017-10-27;939;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7732";"catholic charities of the diocese of albany";2017-10-27;4624;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7733";"cook county health hospitals system";2017-10-27;727;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7734";"arch city dental llc drs baloy and donatelli";2017-10-26;1716;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7735";"mga home healthcare colorado inc";2017-10-25;2898;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7736";"tj samson community hospital";2017-10-24;683;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7737";"brevard physician associates";2017-10-24;7976;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7738";"aetna inc";2017-10-23;1506;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7739";"recovery institute of the south east p a";2017-10-21;689;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7740";"kaiser foundation health plan";2017-10-20;720;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7741";"emergency coverage corporation";2017-10-20;719;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7742";"iowa department of human services";2017-10-20;820;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7743";"the union labor life insurance company";2017-10-19;664;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7744";"mann grandstaff va medical center";2017-10-19;1915;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7745";"insulet corporation";2017-10-17;1469;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7746";"carolina oncology specialists";2017-10-16;1551;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7747";"mhc coalition for health and wellness";2017-10-13;5806;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7748";"cvs pharmacy";2017-10-13;836;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7749";"bridget p early md llc d b a namaste health care";2017-10-12;1617;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7750";"orthopedics ny llp";2017-10-12;2493;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7751";"rivermend health llc";2017-10-09;1300;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7752";"lifestyle therapy coaching";2017-10-09;550;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7753";"john hancock life insurance company u s a";2017-10-06;1715;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7754";"chase brexton health care";2017-10-03;16562;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7755";"lsu health care services division";2017-10-02;1200;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7756";"amida care";2017-09-29;6231;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7757";"briggs stratton corporation";2017-09-29;12789;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7758";"riaz baber m d s c";2017-09-28;10500;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7759";"advanced spine pain center";2017-09-27;8352;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7760";"kraig r pepper d o p a";2017-09-26;653;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7761";"patients choice";2017-09-26;1069;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7762";"houston methodist hospital";2017-09-25;1359;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7763";"our lady of the angels hospital";2017-09-22;1140;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7764";"spokane va medical center";2017-09-20;3275;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7765";"mercy health love county hospital and clinic";2017-09-20;13004;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7766";"peacehealth";2017-09-19;1969;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7767";"mn urology";2017-09-18;939;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7768";"w w grainger inc";2017-09-18;1594;"PHYS";"MED";"US GA: Federal - HIPAA";2017
